tahun,bulan,benua,region,nama_negara,nilai_impor
2005,"Maret","Asia dan Timur Tengah","ASEAN","Myanmar",5759
2005,"Maret","Asia dan Timur Tengah","ASEAN","Singapura",1389872
2005,"Maret","Asia dan Timur Tengah","ASEAN","Thailand",459299
2005,"Maret","Asia dan Timur Tengah","ASEAN","Vietnam",47012
2005,"Maret","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",91364
2005,"Maret","Asia dan Timur Tengah","Asia Selatan","India",142777
2005,"Maret","Asia dan Timur Tengah","Timur Tengah","Irak",0
2005,"Maret","Asia dan Timur Tengah","Asia Timur","Jepang",971111
2005,"Maret","Asia dan Timur Tengah","Asia Timur","Korea Selatan",340848
2005,"Maret","Asia dan Timur Tengah","Asia Selatan","Pakistan",8779
2005,"Maret","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",652279
2005,"Maret","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",268440
2005,"Maret","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",161721
2005,"Maret","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",170941
2005,"Maret","Australia dan Oceania","Australia","Australia",252738
2005,"Maret","Australia dan Oceania","New Zealand","New Zealand",26036
2005,"Maret","Afrika","Afrika Selatan","Afrika Selatan",21375
2005,"Maret","Afrika","Afrika Lainnya","Afrika lainnya",199590
2005,"Maret","Keterangan Lainnya","Keterangan Lainnya","Impor yang tidak dapat diklasifikasikan  2)",41000
2005,"Maret","Keterangan Lainnya","Keterangan Lainnya","Asuransi dan ongkos pengangkutan",582683
2005,"April","Amerika","Amerika Utara","Amerika Serikat",375397
2005,"April","Amerika","Amerika Utara","Kanada",52522
2005,"April","Amerika","Amerika Tengah dan Selatan","Argentina",37259
2005,"April","Amerika","Amerika Tengah dan Selatan","Brasil",36097
2005,"April","Amerika","Amerika Tengah dan Selatan","Meksiko",3451
2005,"April","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",37455
2005,"April","Eropa","Uni Eropa","Belanda",32291
2005,"April","Eropa","Uni Eropa","Belgia",26997
2005,"April","Eropa","Uni Eropa","Inggris",58027
2005,"April","Eropa","Uni Eropa","Italia",56143
2005,"April","Eropa","Uni Eropa","Jerman",192138
2005,"April","Eropa","Uni Eropa","Perancis",38541
2005,"April","Eropa","Uni Eropa","Spanyol",27607
2005,"April","Eropa","Uni Eropa","Uni Eropa lainnya ",96236
2005,"April","Eropa","Rusia","Rusia",18222
2005,"April","Eropa","Turki","Turki",5419
2005,"April","Eropa","Eropa Lainnya","Eropa lainnya",75561
2005,"April","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",69150
2005,"April","Asia dan Timur Tengah","ASEAN","Filipina",40299
2005,"April","Asia dan Timur Tengah","ASEAN","Kamboja",167
2005,"April","Asia dan Timur Tengah","ASEAN","Laos",0
2005,"April","Asia dan Timur Tengah","ASEAN","Malaysia",262223
2005,"April","Asia dan Timur Tengah","ASEAN","Myanmar",3852
2005,"April","Asia dan Timur Tengah","ASEAN","Singapura",1171828
2005,"April","Asia dan Timur Tengah","ASEAN","Thailand",389267
2005,"April","Asia dan Timur Tengah","ASEAN","Vietnam",73622
2005,"April","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",96662
2005,"April","Asia dan Timur Tengah","Asia Selatan","India",92588
2005,"April","Asia dan Timur Tengah","Timur Tengah","Irak",81
2005,"April","Asia dan Timur Tengah","Asia Timur","Jepang",958271
2005,"April","Asia dan Timur Tengah","Asia Timur","Korea Selatan",321571
2005,"April","Asia dan Timur Tengah","Asia Selatan","Pakistan",4868
2005,"April","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",644541
2005,"April","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",176969
2005,"April","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",163490
2005,"April","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",134052
2005,"April","Australia dan Oceania","Australia","Australia",163628
2005,"April","Australia dan Oceania","New Zealand","New Zealand",23569
2005,"April","Afrika","Afrika Selatan","Afrika Selatan",31639
2005,"April","Afrika","Afrika Lainnya","Afrika lainnya",183835
2005,"April","Keterangan Lainnya","Keterangan Lainnya","Impor yang tidak dapat diklasifikasikan  2)",56000
2005,"April","Keterangan Lainnya","Keterangan Lainnya","Asuransi dan ongkos pengangkutan",515984
2005,"Mei","Amerika","Amerika Utara","Amerika Serikat",423719
2005,"Mei","Amerika","Amerika Utara","Kanada",100113
2005,"Mei","Amerika","Amerika Tengah dan Selatan","Argentina",54781
2005,"Mei","Amerika","Amerika Tengah dan Selatan","Brasil",46940
2005,"Mei","Amerika","Amerika Tengah dan Selatan","Meksiko",2476
2005,"Mei","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",27607
2005,"Mei","Eropa","Uni Eropa","Belanda",42636
2005,"Mei","Eropa","Uni Eropa","Belgia",34595
2005,"Mei","Eropa","Uni Eropa","Inggris",59660
2005,"Mei","Eropa","Uni Eropa","Italia",63033
2005,"Mei","Eropa","Uni Eropa","Jerman",193134
2005,"Mei","Eropa","Uni Eropa","Perancis",55928
2005,"Mei","Eropa","Uni Eropa","Spanyol",18250
2005,"Mei","Eropa","Uni Eropa","Uni Eropa lainnya ",102254
2005,"Mei","Eropa","Rusia","Rusia",57036
2005,"Mei","Eropa","Turki","Turki",8123
2005,"Mei","Eropa","Eropa Lainnya","Eropa lainnya",65139
2005,"Mei","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",102129
2005,"Mei","Asia dan Timur Tengah","ASEAN","Filipina",47799
2005,"Mei","Asia dan Timur Tengah","ASEAN","Kamboja",42
2005,"Mei","Asia dan Timur Tengah","ASEAN","Laos",4
2005,"Mei","Asia dan Timur Tengah","ASEAN","Malaysia",183585
2005,"Mei","Asia dan Timur Tengah","ASEAN","Myanmar",2155
2005,"Mei","Asia dan Timur Tengah","ASEAN","Singapura",1287716
2005,"Mei","Asia dan Timur Tengah","ASEAN","Thailand",409678
2005,"Mei","Asia dan Timur Tengah","ASEAN","Vietnam",46145
2005,"Mei","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",90027
2005,"Mei","Asia dan Timur Tengah","Asia Selatan","India",110144
2005,"Mei","Asia dan Timur Tengah","Timur Tengah","Irak",0
2005,"Mei","Asia dan Timur Tengah","Asia Timur","Jepang",832033
2005,"Mei","Asia dan Timur Tengah","Asia Timur","Korea Selatan",330883
2005,"Mei","Asia dan Timur Tengah","Asia Selatan","Pakistan",3179
2005,"Mei","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",638659
2005,"Mei","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",233154
2005,"Mei","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",164699
2005,"Mei","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",244646
2005,"Mei","Australia dan Oceania","Australia","Australia",255311
2005,"Mei","Australia dan Oceania","New Zealand","New Zealand",23075
2005,"Mei","Afrika","Afrika Selatan","Afrika Selatan",26604
2005,"Mei","Afrika","Afrika Lainnya","Afrika lainnya",244168
2005,"Mei","Keterangan Lainnya","Keterangan Lainnya","Impor yang tidak dapat diklasifikasikan  2)",96000
2005,"Mei","Keterangan Lainnya","Keterangan Lainnya","Asuransi dan ongkos pengangkutan",555719
2005,"Juni","Amerika","Amerika Utara","Amerika Serikat",339076
2005,"Juni","Amerika","Amerika Utara","Kanada",66507
2005,"Juni","Amerika","Amerika Tengah dan Selatan","Argentina",25888
2005,"Juni","Amerika","Amerika Tengah dan Selatan","Brasil",58097
2005,"Juni","Amerika","Amerika Tengah dan Selatan","Meksiko",7326
2005,"Juni","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",23071
2005,"Juni","Eropa","Uni Eropa","Belanda",43701
2005,"Juni","Eropa","Uni Eropa","Belgia",34805
2005,"Juni","Eropa","Uni Eropa","Inggris",79797
2005,"Juni","Eropa","Uni Eropa","Italia",49535
2005,"Juni","Eropa","Uni Eropa","Jerman",174329
2005,"Juni","Eropa","Uni Eropa","Perancis",65208
2005,"Juni","Eropa","Uni Eropa","Spanyol",26459
2005,"Juni","Eropa","Uni Eropa","Uni Eropa lainnya ",128861
2005,"Juni","Eropa","Rusia","Rusia",25313
2005,"Juni","Eropa","Turki","Turki",6756
2005,"Juni","Eropa","Eropa Lainnya","Eropa lainnya",43531
2005,"Juni","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",67127
2005,"Juni","Asia dan Timur Tengah","ASEAN","Filipina",42241
2005,"Juni","Asia dan Timur Tengah","ASEAN","Kamboja",122
2005,"Juni","Asia dan Timur Tengah","ASEAN","Laos",0
2005,"Juni","Asia dan Timur Tengah","ASEAN","Malaysia",212899
2005,"Juni","Asia dan Timur Tengah","ASEAN","Myanmar",709
2005,"Juni","Asia dan Timur Tengah","ASEAN","Singapura",1211207
2005,"Juni","Asia dan Timur Tengah","ASEAN","Thailand",382820
2005,"Juni","Asia dan Timur Tengah","ASEAN","Vietnam",10071
2005,"Juni","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",111734
2005,"Juni","Asia dan Timur Tengah","Asia Selatan","India",96780
